coach,discipline,stance,hand,specialty,level,best_for,years_coaching
Mara Lindqvist,Boxing,Southpaw,Right,"Lead-hand boxing, jab systems",All levels,Striker,14
Tomas Reyes,Muay Thai,Orthodox,Right,"Kicks, clinch, teeps",All levels,Striker,18
Aiko Tanaka,Kickboxing,Southpaw,Left,"Open-stance footwork, counters",Intermediate,Striker,11
Daniel Okoro,Wrestling,Orthodox,Right,"Single/double legs, cage wrestling",All levels,Grappler,16
Lucas Ferreira,BJJ,Orthodox,Right,"Guard, submissions, escapes",All levels,Grappler,20
Nina Petrova,No-Gi / Sambo,Southpaw,Right,"Leg locks, scrambles, top control",Competition,Grappler,12
Sam Whitford,MMA,Switch,Right,Striking-to-takedown transitions,Intermediate,All-rounder,15
Rhea Kapoor,MMA,Orthodox,Left,"Cage work, game planning",Competition,All-rounder,10
Ben Aldana,Strength & Conditioning,—,—,"Fight conditioning, injury prevention",All levels,Any,9
Leah Moreau,Boxing,Orthodox,Right,"Defence, head movement, body work",Beginner,Striker,7
