fighter,country,continent,stance_project,hand,wins,losses,total_fights,win_rate,weight_class,learning_tip,weight_class_source,gender,height_cm,reach_cm,stance_ufcstats,dob,ufcstats_url,ufc_fights,ufc_wins,ufc_losses,ufc_ko_wins,ufc_sub_wins,ufc_dec_wins,title_fights,main_events,first_ufc_fight,last_ufc_fight,stats_fights,ufc_minutes,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,kd_avg,ctrl_pct,pct_distance,pct_clinch,pct_ground,pct_head,pct_body,pct_leg,age,age_at_last_ufc_fight,active,ape_index_cm,headliner_index,striking_index,grappling_index,fighting_style,stance,stance_matches_project,foot,champion,popularity_index,stance_hand,foot_hand,ape_index
Jon Jones,USA,North America,Orthodox,Right,27,1,28,96.43,Light Heavyweight,Study fundamentals and signature techniques,corrected,Men,193.0,213.4,Orthodox,1987-07-19,http://ufcstats.com/fighter-details/07f72a2a7591b409,24.0,22.0,1.0,6.0,6.0,10.0,17.0,19.0,2008-08-09,2024-11-16,24.0,356.8,4.38,58.91,2.24,64.09,1.89,45.92,95.0,0.46,0.25,23.69,64.71,15.98,19.31,48.53,23.98,27.49,39.2,37.3,True,20.4,36.0,52.0,66.0,All-rounder,Orthodox,True,Right,True,98,Orthodox · Right-handed,Right foot · Right hand,1.106
Stipe Miocic,USA,North America,Orthodox,Right,20,4,24,83.33,Heavyweight,Study fundamentals and signature techniques,original,Men,193.0,203.2,Orthodox,1982-08-19,http://ufcstats.com/fighter-details/d28dee5c705991df,19.0,14.0,5.0,9.0,0.0,5.0,9.0,13.0,2011-10-08,2024-11-16,19.0,215.7,4.67,52.72,4.01,52.32,1.74,34.25,65.0,0.0,0.49,26.55,71.6,12.02,16.39,73.19,13.8,13.01,44.1,42.2,True,10.2,22.0,72.0,49.0,Striker,Orthodox,True,Right,True,86,Orthodox · Right-handed,Right foot · Right hand,1.053
Daniel Cormier,USA,North America,Orthodox,Right,22,3,25,88.0,Light Heavyweight,Study fundamentals and signature techniques,original,Men,180.3,182.9,Orthodox,1979-03-20,http://ufcstats.com/fighter-details/d967f0128c323de6,15.0,11.0,3.0,3.0,4.0,4.0,10.0,9.0,2013-04-20,2020-08-15,15.0,207.4,4.39,54.75,3.51,50.48,1.66,46.0,76.47,0.58,0.14,30.31,59.93,22.94,17.12,74.86,13.06,12.07,47.5,41.4,False,2.6,19.0,43.0,70.0,Grappler,Orthodox,True,Right,True,76,Orthodox · Right-handed,Right foot · Right hand,1.014
Nate Diaz,USA,North America,Southpaw,Left,21,13,34,61.76,Lightweight,Study fundamentals and signature techniques,original,Men,182.9,193.0,Southpaw,1985-04-16,http://ufcstats.com/fighter-details/8355922d564b152c,27.0,16.0,11.0,2.0,10.0,4.0,2.0,10.0,2007-06-23,2022-09-10,27.0,337.3,4.58,44.57,4.0,52.85,0.8,26.47,43.88,1.16,0.18,14.02,73.32,22.15,4.53,74.22,17.03,8.74,41.4,37.4,False,10.1,12.0,49.0,56.0,All-rounder,Southpaw,True,Left,False,70,Southpaw · Left-handed,Left foot · Left hand,1.055
Tony Ferguson,USA,North America,Orthodox,Right,25,8,33,75.76,Lightweight,Study fundamentals and signature techniques,original,Men,180.3,193.0,Orthodox,1984-02-12,http://ufcstats.com/fighter-details/22a92d7f62195791,24.0,15.0,9.0,5.0,6.0,4.0,3.0,5.0,2011-06-04,2024-08-03,24.0,271.5,4.91,45.85,4.37,55.38,0.39,35.0,66.1,0.88,0.17,2.95,90.84,2.33,6.83,60.06,19.44,20.5,42.6,40.5,False,12.7,8.0,52.0,33.0,Striker,Orthodox,True,Right,True,52,Orthodox · Right-handed,Right foot · Right hand,1.07
Colby Covington,USA,North America,Orthodox,Right,17,4,21,80.95,Welterweight,Study fundamentals and signature techniques,original,Men,180.3,182.9,Orthodox,1988-02-22,http://ufcstats.com/fighter-details/dc9572dd6ec74859,17.0,12.0,5.0,3.0,2.0,7.0,4.0,7.0,2014-08-23,2024-12-14,17.0,288.1,3.81,38.48,3.09,54.78,3.64,42.68,68.97,0.16,0.05,43.41,79.71,9.74,10.56,69.43,15.83,14.74,38.6,36.8,True,2.6,11.0,27.0,69.0,Grappler,Orthodox,True,Right,True,59,Orthodox · Right-handed,Right foot · Right hand,1.014
Tyron Woodley,USA,North America,Orthodox,Right,19,7,26,73.08,Welterweight,Study fundamentals and signature techniques,corrected,Men,175.3,188.0,Orthodox,1982-04-07,http://ufcstats.com/fighter-details/effd9de9937996f8,16.0,9.0,6.0,5.0,1.0,3.0,6.0,5.0,2013-02-02,2021-03-27,16.0,220.0,2.4,46.89,2.9,57.08,0.41,35.29,87.5,0.2,0.68,11.62,50.57,26.7,22.73,55.87,33.52,10.61,44.5,39.0,False,12.7,11.0,47.0,26.0,Striker,Orthodox,True,Right,True,51,Orthodox · Right-handed,Right foot · Right hand,1.072
Justin Gaethje,USA,North America,Orthodox,Right,25,4,29,86.21,Lightweight,Study fundamentals and signature techniques,original,Men,180.3,177.8,Orthodox,1988-11-14,http://ufcstats.com/fighter-details/9e8f6c728eb01124,16.0,11.0,5.0,7.0,0.0,4.0,4.0,11.0,2017-07-07,2026-06-14,16.0,202.2,6.29,57.56,6.83,50.7,0.3,26.67,73.33,0.0,0.67,6.57,83.79,12.75,3.46,66.17,10.94,22.9,37.9,37.6,True,-2.5,15.0,89.0,10.0,Striker,Orthodox,True,Right,True,68,Orthodox · Right-handed,Right foot · Right hand,0.986
Max Holloway,USA,North America,Orthodox,Right,25,7,32,78.12,Featherweight,Study fundamentals and signature techniques,original,Men,180.3,175.3,Orthodox,1991-12-04,http://ufcstats.com/fighter-details/150ff4cc642270b9,33.0,24.0,9.0,12.0,2.0,10.0,10.0,15.0,2012-02-04,2026-07-11,33.0,533.9,6.92,48.17,4.6,58.67,0.22,53.33,81.44,0.28,0.34,5.57,88.06,6.66,5.28,64.69,24.34,10.97,34.8,34.6,True,-5.0,25.0,74.0,18.0,Striker,Orthodox,True,Right,True,96,Orthodox · Right-handed,Right foot · Right hand,0.972
Dustin Poirier,USA,North America,Southpaw,Right,29,8,37,78.38,Lightweight,"Study boxing combinations, body punching",original,Men,175.3,182.9,Southpaw,1989-01-19,http://ufcstats.com/fighter-details/029eaff01e6bb8f0,32.0,22.0,9.0,11.0,4.0,7.0,4.0,14.0,2011-01-01,2025-07-19,32.0,348.2,5.34,50.0,4.67,52.32,1.21,35.9,63.04,1.08,0.65,20.11,76.03,15.05,8.92,80.06,9.78,10.16,37.7,36.5,True,7.6,18.0,84.0,66.0,Striker,Southpaw,True,Right,True,88,Southpaw · Right-handed,Right foot · Right hand,1.043
